"","date","pneg","type"
"153",343,0.00987407999097079,"Repeat Donors (deaths)"
"154",350,0.00927848486417526,"Repeat Donors (deaths)"
"155",357,0.00929862892401923,"Repeat Donors (deaths)"
"156",364,0.00909398854712018,"Repeat Donors (deaths)"
"157",371,0.00840938140137504,"Repeat Donors (deaths)"
"158",378,0.0077215744771707,"Repeat Donors (deaths)"
"159",385,0.00762129051137694,"Repeat Donors (deaths)"
"160",392,0.00680003828098596,"Repeat Donors (deaths)"
"161",399,0.00608932385190486,"Repeat Donors (deaths)"
"162",406,0.00546216727394588,"Repeat Donors (deaths)"
"163",413,0.00570833204857379,"Repeat Donors (deaths)"
"164",420,0.005446895604028,"Repeat Donors (deaths)"
"165",427,0.0052186204998752,"Repeat Donors (deaths)"
"166",434,0.00499129078481253,"Repeat Donors (deaths)"
"167",441,0.00485959081233067,"Repeat Donors (deaths)"
"168",448,0.00464964171207938,"Repeat Donors (deaths)"
"169",455,0.00445496428174563,"Repeat Donors (deaths)"
"170",462,0.00431541030759186,"Repeat Donors (deaths)"
"171",469,0.00420894495159319,"Repeat Donors (deaths)"
"172",476,0.00408291731365218,"Repeat Donors (deaths)"
"173",483,0.00404008391564448,"Repeat Donors (deaths)"
"174",490,0.00435228048210767,"Repeat Donors (deaths)"
"175",497,0.00511840925631912,"Repeat Donors (deaths)"
"176",504,0.00449074362269619,"Repeat Donors (deaths)"
"177",511,0.00390205710848235,"Repeat Donors (deaths)"
"178",518,0.00336325804933357,"Repeat Donors (deaths)"
"179",525,0.00298153902362541,"Repeat Donors (deaths)"
"180",532,0.00269603151839959,"Repeat Donors (deaths)"
"181",539,0.00237896256201031,"Repeat Donors (deaths)"
"182",546,0.00237954433991183,"Repeat Donors (deaths)"
"183",553,0.0022404994214219,"Repeat Donors (deaths)"
"184",560,0.0019379749125733,"Repeat Donors (deaths)"
"185",567,0.00169537352759286,"Repeat Donors (deaths)"
"186",574,0.00160941584262675,"Repeat Donors (deaths)"
"187",581,0.00143408252752242,"Repeat Donors (deaths)"
"188",588,0.00124224126445938,"Repeat Donors (deaths)"
"189",595,0.00155654677581596,"Repeat Donors (deaths)"
"190",602,0.00152062199039027,"Repeat Donors (deaths)"
"191",609,0.00196379130695823,"Repeat Donors (deaths)"
"192",616,0.00195201030445014,"Repeat Donors (deaths)"
"193",623,0.00157814528041411,"Repeat Donors (deaths)"
"194",630,0.00158185411453693,"Repeat Donors (deaths)"
"195",637,0.00167748385711763,"Repeat Donors (deaths)"
"196",644,0.001616469899684,"Repeat Donors (deaths)"
"197",651,0.00152963954786556,"Repeat Donors (deaths)"
"198",658,0.00156163733245518,"Repeat Donors (deaths)"
"199",665,0.00147386159154661,"Repeat Donors (deaths)"
"200",672,0.00144564536331737,"Repeat Donors (deaths)"
"201",679,0.00139844863104743,"Repeat Donors (deaths)"
"202",686,0.00125031343284454,"Repeat Donors (deaths)"
"203",693,0.00105869033649453,"Repeat Donors (deaths)"
"204",700,0.00102305644001954,"Repeat Donors (deaths)"
"205",707,0.00100829382576573,"Repeat Donors (deaths)"
"206",714,0.00102211105092942,"Repeat Donors (deaths)"
"207",0,0,"Plasma Donors"
